matricule;email;nom;prenom;telephone;role;organisation_code;service;fonction;actif
MAT-2011-0036;t.owona@mintp.cm;OWONA;Thierry;+237 677 40 10 01;DIRECTEUR;DIER;Direction des Investissements et de l'Entretien Routier;Directeur DIER;TRUE
MAT-2013-0037;v.kamga@mintp.cm;KAMGA;Véronique;+237 677 40 10 02;CHEF_SERVICE;DIER-MARCHES;Service Marchés Publics;Chef du Service Marchés Publics;TRUE
MAT-2014-0038;p.dang@mintp.cm;DANG;Philippe;+237 677 40 10 03;CHEF_SERVICE;DIER-TECH;Division Technique;Chef de la Division Technique;TRUE
MAT-2015-0039;i.moukouri@mintp.cm;MOUKOURI;Irène;+237 677 40 10 04;CHEF_SERVICE;DIER-BUDGET;Sous-direction Budget;Chef de la Sous-direction Budget;TRUE
MAT-2016-0040;r.nana@mintp.cm;NANA;Roger;+237 677 40 10 05;CHEF_SERVICE;DIER-PROG;Division Programmation;Chef de la Division Programmation;TRUE
MAT-2018-0041;b.chia@mintp.cm;CHIA;Bernadette;+237 677 40 11 01;APPUI;DIER-MARCHES;Service Marchés Publics;Secrétaire du Service Marchés;TRUE
MAT-2017-0042;m.djeuga@mintp.cm;DJEUGA;Maurice;+237 677 40 11 02;APPUI;DIER;Direction DIER;Secrétaire de direction;TRUE
MAT-2019-0043;c.ella@mintp.cm;ELLA;Colette;+237 677 40 11 03;APPUI;DIER-MARCHES;Service Marchés Publics;Archiviste dossiers marchés;TRUE
MAT-2018-0044;k.ahidjo@mintp.cm;AHIDJO;Karim;+237 677 40 12 01;AGENT;DIER-MARCHES;Service Marchés Publics;Agent instruction dossiers marchés;TRUE
MAT-2019-0045;l.bapoo@mintp.cm;BAPOO;Lionel;+237 677 40 12 02;AGENT;DIER-MARCHES;Service Marchés Publics;Agent passation marchés simplifiés;TRUE
MAT-2020-0046;n.djeukam@mintp.cm;DJEUKAM;Nadine;+237 677 40 12 03;AGENT;DIER-MARCHES;Service Marchés Publics;Agent suivi consultations;TRUE
MAT-2017-0047;jb.etoa@mintp.cm;ETOA;Jean-Baptiste;+237 677 40 12 04;AGENT;DIER-MARCHES;Service Marchés Publics;Agent rédaction dossiers consultation;TRUE
MAT-2018-0048;a.fokou@mintp.cm;FOKOU;Armand;+237 677 40 12 05;AGENT;DIER-MARCHES;Service Marchés Publics;Agent contrôle administratif marchés;TRUE
MAT-2019-0049;m.garcia@mintp.cm;GARCIA;Michelle;+237 677 40 12 06;AGENT;DIER-MARCHES;Service Marchés Publics;Agent notification attributaires;TRUE
MAT-2020-0050;b.happi@mintp.cm;HAPPI;Boris;+237 677 40 12 07;AGENT;DIER-TECH;Division Technique;Ingénieur instruction technique;TRUE
MAT-2018-0051;a.issa@mintp.cm;ISSA;Aminata;+237 677 40 12 08;AGENT;DIER-TECH;Division Technique;Ingénieure études routières;TRUE
MAT-2019-0052;r.kemgang@mintp.cm;KEMGANG;Rodolphe;+237 677 40 12 09;AGENT;DIER-TECH;Division Technique;Technicien supérieur en génie civil;TRUE
MAT-2020-0053;s.loembe@mintp.cm;LOEMBE;Stéphanie;+237 677 40 12 10;AGENT;DIER-TECH;Division Technique;Agent contrôle technique;TRUE
MAT-2017-0054;e.manga@mintp.cm;MANGA;Eric;+237 677 40 12 11;AGENT;DIER-PROG;Division Programmation;Agent programmation travaux;TRUE
MAT-2018-0055;c.ntsama@mintp.cm;NTSAMA;Claudine;+237 677 40 12 12;AGENT;DIER-PROG;Division Programmation;Agent suivi de chantiers;TRUE
MAT-2019-0056;g.ondo@mintp.cm;ONDO;Georges;+237 677 40 12 13;AGENT;DIER-BUDGET;Sous-direction Budget;Agent visa financier;TRUE
MAT-2020-0057;r.pegui@mintp.cm;PEGUI;Roland;+237 677 40 12 14;AGENT;DIER-BUDGET;Sous-direction Budget;Contrôleur budgétaire;TRUE
MAT-2018-0058;s.quan@mintp.cm;QUAN;Suzanne;+237 677 40 12 15;AGENT;DIER-BUDGET;Sous-direction Budget;Agent engagement dépenses;TRUE
MAT-2019-0059;t.rabah@mintp.cm;RABAH;Thomas;+237 677 40 12 16;AGENT;DIER-MARCHES;Service Marchés Publics;Agent archivage marchés;TRUE
MAT-2020-0060;a.soh@mintp.cm;SOH;Angèle;+237 677 40 12 17;AGENT;DIER-MARCHES;Service Marchés Publics;Agent suivi délais passation;TRUE
MAT-2021-0061;j.tamba@mintp.cm;TAMBA;Justin;+237 677 40 12 18;AGENT;DIER-PROG;Division Programmation;Agent coordination projets;TRUE
MAT-2018-0062;p.unjoh@mintp.cm;UNJOH;Prisca;+237 677 40 12 19;AGENT;DIER-TECH;Division Technique;Agent études préliminaires;TRUE
MAT-2019-0063;a.voa@mintp.cm;VOA;Alain;+237 677 40 12 20;AGENT;DIER-MARCHES;Service Marchés Publics;Agent relance fournisseurs;TRUE
MAT-2015-0064;m.affane@mintp.cm;AFFANE;Michel;+237 677 40 13 01;LECTEUR;DIER;Direction DIER;Contrôleur financier — lecture seule;TRUE
MAT-2016-0065;j.bityo@mintp.cm;BITYO;Jeanne;+237 677 40 13 02;LECTEUR;DIER;Direction DIER;Auditrice interne — consultation;TRUE
MAT-2012-0066;a.mezode@mintp.cm;MEZODE;André;+237 677 50 10 01;DRTP;DRTP-C;DRTP du Centre;Directeur DRTP Centre;TRUE
MAT-2014-0067;c.tabi@mintp.cm;TABI;Cécile;+237 677 50 10 02;CHEF_SERVICE;DRTP-C-AUTH;Service Autorisations travaux;Chef du Service Autorisations;TRUE
MAT-2015-0068;s.nguimfack@mintp.cm;NGUIMFACK;Simon;+237 677 50 10 03;CHEF_SERVICE;DRTP-C-ROUTES;Service Routes nationales;Chef du Service Routes;TRUE
MAT-2016-0069;p.eyene@mintp.cm;EYENE;Pauline;+237 677 50 10 04;CHEF_SERVICE;DRTP-C;DRTP du Centre;Chef du Service Administration;TRUE
MAT-2018-0070;a.nkono@mintp.cm;NKONO;Angèle;+237 677 50 11 01;APPUI;DRTP-C-AUTH;Service Autorisations travaux;Secrétaire autorisations;TRUE
MAT-2017-0071;b.tchoua@mintp.cm;TCHOUA;Benoît;+237 677 50 11 02;APPUI;DRTP-C;DRTP du Centre;Secrétaire de direction DRTP;TRUE
MAT-2019-0072;d.wouafo@mintp.cm;WOUAFO;Diane;+237 677 50 11 03;APPUI;DRTP-C-ROUTES;Service Routes nationales;Archiviste technique DRTP;TRUE
MAT-2018-0073;s.adjomo@mintp.cm;ADJOMO;Serge;+237 677 50 12 01;AGENT;DRTP-C-AUTH;Service Autorisations travaux;Agent instruction autorisations;TRUE
MAT-2019-0074;m.bilong@mintp.cm;BILONG;Martine;+237 677 50 12 02;AGENT;DRTP-C-AUTH;Service Autorisations travaux;Agent réception demandes travaux;TRUE
MAT-2020-0075;p.ebong@mintp.cm;EBONG;Pascal;+237 677 50 12 03;AGENT;DRTP-C-AUTH;Service Autorisations travaux;Agent visite terrain;TRUE
MAT-2018-0076;c.feussa@mintp.cm;FEUSSA;Corine;+237 677 50 12 04;AGENT;DRTP-C-AUTH;Service Autorisations travaux;Agent délivrance autorisations;TRUE
MAT-2019-0077;i.guera@mintp.cm;GUERA;Isaac;+237 677 50 12 05;AGENT;DRTP-C-ROUTES;Service Routes nationales;Ingénieur routes nationales;TRUE
MAT-2020-0078;r.itang@mintp.cm;ITANG;Rose;+237 677 50 12 06;AGENT;DRTP-C-ROUTES;Service Routes nationales;Technicienne contrôle ouvrages;TRUE
MAT-2017-0079;d.kenmoe@mintp.cm;KENMOE;Donald;+237 677 50 12 07;AGENT;DRTP-C-ROUTES;Service Routes nationales;Agent entretien routier régional;TRUE
MAT-2018-0080;a.likibi@mintp.cm;LIKIBI;Annie;+237 677 50 12 08;AGENT;DRTP-C-ROUTES;Service Routes nationales;Agent suivi travaux départementaux;TRUE
MAT-2019-0081;r.mevo@mintp.cm;MEVO;Robert;+237 677 50 12 09;AGENT;DRTP-C-AUTH;Service Autorisations travaux;Agent contrôle conformité plans;TRUE
MAT-2020-0082;j.ndoum@mintp.cm;NDOUM;Julienne;+237 677 50 12 10;AGENT;DRTP-C;DRTP du Centre;Agent coordination Mfoundi-Lekié;TRUE
MAT-2018-0083;s.obam@mintp.cm;OBAM;Serge;+237 677 50 12 11;AGENT;DRTP-C-AUTH;Service Autorisations travaux;Agent relation entreprises;TRUE
MAT-2019-0084;v.pokam@mintp.cm;POKAM;Vincent;+237 677 50 12 12;AGENT;DRTP-C-ROUTES;Service Routes nationales;Agent inspection ponts et ouvrages;TRUE
MAT-2016-0085;l.mongue@mintp.cm;MONGUE;Lambert;+237 677 50 13 01;LECTEUR;DRTP-C;DRTP du Centre;Contrôleur régional — consultation;TRUE
